
[2013-05-18 07:26:13.032071] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.041564] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.051427] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.060960] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.070599] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.080518] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.089646] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.096778] [SMELL] Object does not fit within bounds. (pos=(1366, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.631869] [SMELL] Object does not fit within bounds. (pos=(1366, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.638599] [SMELL] Object does not fit within bounds. (pos=(1367, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.645461] [SMELL] Object does not fit within bounds. (pos=(1368, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.652313] [SMELL] Object does not fit within bounds. (pos=(1369, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.661013] [SMELL] Object does not fit within bounds. (pos=(1370, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.668387] [SMELL] Object does not fit within bounds. (pos=(1371, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.675301] [SMELL] Object does not fit within bounds. (pos=(1372, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.682205] [SMELL] Object does not fit within bounds. (pos=(1373, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.693281] [SMELL] Object does not fit within bounds. (pos=(1374, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.702148] [SMELL] Object does not fit within bounds. (pos=(1375, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.709696] [SMELL] Object does not fit within bounds. (pos=(1376, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.716609] [SMELL] Object does not fit within bounds. (pos=(1377, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.726488] [SMELL] Object does not fit within bounds. (pos=(1378, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.735942] [SMELL] Object does not fit within bounds. (pos=(1379, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.745442] [SMELL] Object does not fit within bounds. (pos=(1380, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.754685] [SMELL] Object does not fit within bounds. (pos=(1381, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.761634] [SMELL] Object does not fit within bounds. (pos=(1382, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.768437] [SMELL] Object does not fit within bounds. (pos=(1383, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.775238] [SMELL] Object does not fit within bounds. (pos=(1384, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.781693] [SMELL] Object does not fit within bounds. (pos=(1385, 10), size=<rect(0, 0, 1366, 768)>)
[2013-05-18 07:26:13.788676] [SMELL] Object does not fit within bounds. (pos=(1386, 10), size=<rect(0, 0, 1366, 768)>)
